FCCS fuelbedID,FCCS fuelbed_name,site_description,SAF/SRM MapID,SAF/SRM MapID,SAF/SRM MapID,SAF/SRM MapID,SAF/SRM MapID,SAF/SRM Description,Urbanski Flame/Smold WF,Urbanski Residual,Urbanski Duff,Urbanski Flame/Smold Rx (CHECK),FINN Cover Type (CHECK)
161,Loblolly pine - Slash pine forest,"Conservation Reserve Program (CRP) plantations found throughout the southeastern United States.  This description based on a 20 year old CRP plantation on medium site index.  Sparse shrub and herbaceous layers.  This fuelbed based on loblolly pine, but slash pine is also planted in CRP plantations.",70,72,,,,SAF 81: Loblolly Pine,SE forest,CWD residual,Temperate residual,SE forest,Temperate Forest
162,Loblolly pine - Slash pine forest,"Conservation Reserve Program plantations found throughout the southeastern United States.  This description based on a 20 year old CRP plantation on medium site index commercially thinned 5 years ago.  Sparse shrub and herbaceous layers. This fuelbed based on loblolly pine, but slash pine is also planted in CRP plantations.",70,72,,,,SAF 81: Loblolly Pine,SE forest,CWD residual,Temperate residual,SE forest,Temperate Forest
196,Loblolly pine / Bluestem forest,Young loblolly pine plantation (2-10 years) in winter or spring with grasses fully cured (this fuelbed can be modified for other conditions by altering the percent live in the non-woody vegetation).,70,,,,,SAF 81: Loblolly Pine,SE forest,CWD residual,Temperate residual,SE forest,Temperate Forest
282,Loblolly pine forest,"Loblolly pine dominated forests occur throughout the southeastern coastal plain and piedmont regions from Texas east and north to Virginia.  Shortleaf pine, Virginia pine or longleaf pine may also be present in the canopy depending on geographic location within the region.  Fuelbed represents stands ranging in age from 30-80 years old.",70,,,,,SAF 81: Loblolly Pine,SE forest,CWD residual,Temperate residual,SE forest,Temperate Forest
157,Loblolly pine - Shortleaf pine - Mixed hardwoods forest,"Maturing (45+ years old), second growth, predominantly loblolly and shortleaf pine forests occurring throughout the interior of the southeastern coastal plain.  Scattered slash pine and longleaf pine possible, depending on geographic location.  Oaks and other hardwood species are co-dominant in the canopy; with longer time since disturbance (fire, logging, etc.), hardwoods make up more of the canopy cover.",71,,,,,SAF 80: Loblolly Pine-Shortleaf Pine,SE forest,CWD residual,Temperate residual,SE forest,Temperate Forest
158,Loblolly pine - Shortleaf pine - Mixed hardwoods forest,"Maturing (45+ years old), second growth, predominantly loblolly and shortleaf pine forests occurring throughout the interior of the southeastern coastal plain.  Scattered slash pine and longleaf pine possible, depending on geographic location.  Various hardwood species are co-dominant in the canopy.  Approximately 10-12 years after southern pine beetle infestation.",71,,,,,SAF 80: Loblolly Pine-Shortleaf Pine,SE forest,CWD residual,Temperate residual,SE forest,Temperate Forest
178,Loblolly pine - Shortleaf pine forest,"Dense, naturally regenerating, predominantly loblolly and shortleaf pine forest occurring throughout the interior of the southeastern coastal plain.  Clearcut 10-15 years ago.  Scattered slash pine and longleaf pine possible, depending on geographic location.  Various hardwood species may be co-dominant in the canopy.",71,,,,,SAF 80: Loblolly Pine-Shortleaf Pine,SE forest,CWD residual,Temperate residual,SE forest,Temperate Forest
183,Loblolly pine - Shortleaf pine forest,"10-15 year old, second growth, predominantly loblolly and shortleaf pine forest occurring throughout the interior of the southeastern coastal plain.  Scattered slash pine and longleaf pine possible, depending on geographic location.  Various hardwood species may be co-dominant in the canopy.   Dense, naturally regenerating forest, precommercially thinned less than 1 year ago to reduce stocking.  Thinning slash and shrubs are primary fuels.",71,,,,,SAF 80: Loblolly Pine-Shortleaf Pine,SE forest,CWD residual,Temperate residual,SE forest,Temperate Forest
156,Slash pine plantation forest,Slash pine (Pinus elliottii) forest planted following clearcut less than 45 years ago.  Slash pine plantations are common throughout the southeastern coastal plain and southern piedmont regions.  This fuelbed represents a stand that has been commercially thinned approximately 2 years ago with thinning slash present.,72,,,,,SAF 84: Slash Pine,SE forest,CWD residual,Temperate residual,SE forest,Temperate Forest
168,Little gallberry - Fetterbush shrubland,Low pocosins are an evergreen and deciduous shrub bog with a dense shrub strata and few emergent pond pine.  Low pocosin is distinguished by organic soil (peat) depth of greater than 1.5m.  The shrubs are from 1.5 to 3m (4.9 to 9.8 ft).  Low pocosin communities occur on the coastal plain from Virginia to Florida but are mostly restricted to the outer coastal plain of North Carolina.  Age ranges from 10 to 50 years since fire.,74,,,,,SAF 98: Pond Pine,SE forest,CWD residual,Temperate residual,SE forest,Shrublands
170,Pond pine / Little gallberry - Fetterbush shrubland,This fuelbed type (high pocosin) ranges from Virginia south to Florida on the coastal plain.  High pocosin is an evergreen and deciduous shrub bog with emergent trees over a dense shrub understory.  The tree strata are dominated by pond pine (Pinus serotina) and loblolly bay (Gordonia lasianthus).  Age ranges from 20 to 60 years since fire.,74,,,,,SAF 98: Pond Pine,SE forest,CWD residual,Temperate residual,SE forest,Shrublands
181,Pond pine forest,"Pond pine (Pinus serotina) dominated woodland to forest which occurs in coastal areas of NC and, less frequently in FL and SC.  This fuelbed represents 50 to 90 year old stands with somewhat open canopies.",74,,,,,SAF 98: Pond Pine,SE forest,CWD residual,Temperate residual,SE forest,Temperate Forest
184,Longleaf pine / Turkey oak forest,"Xeric Longleaf pine - turkey oak forests occurring throughout the southeastern coastal plain from VA south to FL and west into TX on well-drained soils, approximately 20 years after fire.  Fire exclusion increases oak component and sand pine (Pinus clausa), slash pine (P. elliottii), and loblolly pine (P. taeda).  The typical lower canopy layer is dominated by turkey oak (Quercus laevis) with other mixed oaks often including bluejack oak (Q. incana) and sand live oak (Q. geminata).  Depending on the geographic loacation of the type, other oaks may occur, including post oak (Q. stellata), southern red oak (Q. falcata), blackjack oak (Q. marilandica), sand post oak (Q. margarettiae), myrtle oak (Q. myrtifolia), Arkansas oak (Q. arkansana), and live oak (Q. virginiana).",75,287,,,,SAF 71: Longleaf Pine-Scrub Oak,SE forest,CWD residual,Temperate residual,SE forest,Temperate Forest
185,Longleaf pine / Turkey oak forest,Xeric longleaf pine - turkey oak forests occurring throughout the southeastern coastal plain from VA south to FL and west into TX on well-drained soils with a history of regular prescribed fire; approximately 1-2 years following a prescribed burn.,75,287,,,,SAF 71: Longleaf Pine-Scrub Oak,SE forest,CWD residual,Temperate residual,SE forest,Temperate Forest
186,Turkey oak - Bluejack oak forest,"Oak scrub community developing in dry pine - oak forest regions throughout southeast coastal plain (similarly structured types occur in the midwest with different species assemblages) after long-term fire exclusion or removal of overstory pine species or as a edaphic climax on xeric sites.  Depending on the geographic location of the type, many oak species may occur, including blackjack (Q. marilandica), sand live oak (Q. geminata), sand post oak (Q. margarettiae), myrtle oak (Q. myrtifolia), Arkansas oak (Q. arkansana), post oak (Q. stellata) and live oak (Q. virginiana).",75,96,,,,SAF 71: Longleaf Pine-Scrub Oak,SE forest,CWD residual,Temperate residual,SE forest,Temperate Forest
187,Longleaf pine / Yaupon forest,"Xeric longleaf pine forests, occurring throughout the southeastern coastal plain from VA south to FL and west into TX on well-drained soils, with mechanical reduction of midstory oaks less than 1 year ago.  With fire suppression, sand pine, turkey oaks and other scrubby oaks increase in these forests.  Restoration efforts often include sand pine and oak reduction through thinning or herbicide and prescribed burning.",75,287,,,,SAF 71: Longleaf Pine-Scrub Oak,SE forest,CWD residual,Temperate residual,SE forest,Temperate Forest
281,Shortleaf pine - Post oak - Black oak forest,"Dry, open to closed forests dominated by shortleaf pine and mixed oak species, usually post oak and black oak.  Other oaks such as blackjack oak, southern red oak, scarlet oak, and white oak may also be present depending on geographic location and soil type.  These forests occur mainly in the West Gulf coastal plain and Interior Highlands of the southern United States from OK, MO and TX east to MS;  also occur farther east in the southern Appalachians and Piedmont on dry, low elevation ridges, generally under 2000 ft. Fuelbed represents stands from 50-90 years old.",76,,,,,SAF 76: Shortleaf Pine-Oak,SE forest,CWD residual,Temperate residual,SE forest,Temperate Forest
283,Willow oak - Laurel oak - Water oak forest,Oak dominated bottomland forests are common alluvial forest types throughout the southeastern and central United States.  The canopy species composition varies with length of inundation and geographic region.  This fuelbed represents stands between 25-70 years old.,81,83,88,,,SAF 88: Willow Oak-Water Oak-Diamondleaf Oak,SE forest,CWD residual,Temperate residual,SE forest,Temperate Forest
173,Live oak / Sea oats savanna,"Coastal dune savanna with live oak over diverse assemblage of dune grasses and forbs and salt tolerant shrubs.  Canopy and shrub covers range widely depending on proximity to coast and level of protection by foredunes.  Occurs on dry sandy soils near the southern Atlantic and Gulf coasts.  In some parts of the range, pines may also occur as scattered individuals in the canopy.",82,265,,,,SAF 89: Live Oak,SE forest,CWD residual,Temperate residual,SE forest,Savanna/Grassland
129,Green ash - American elm forest,"Bottomland hardwood forests dominated by green ash and American elm and other mixed hardwoods including oak species, black walnut, hackberry or sugarberry, and maples.  These forests occur throughout the southeastern and central United States.  Fuelbed represents stands between 40 to 70 years old.",85,,,,,SAF 93: Sugarberry-American Elm-Green Ash,SE forest,CWD residual,Temperate residual,SE forest,Temperate Forest
288,Bald-cypress - Water tupelo forest,Swamp forest dominated by bald-cypress and water tupelo which occur in very poorly drained areas of floodplains throughout the southeastern coastal plain.  This fuelbed represents 70-150 year old stands.  This fuelbed type will only burn in very droughty years as it is normally flooded for much of the year.,90,,,,,SAF 101: Baldcypress,SE forest,CWD residual,Temperate residual,SE forest,Temperate Forest
232,Mesquite savanna,"Mesquite occurs in both shrub and tree form throughout the Southwest. In washes and riparian areas, it can grow to heights of 40 feet. In dry areas, it usually grows in shrub form. Over the past century, mesquite density has greatly increased across range lands, and is now a significant management concern for ranchers and farmers. The increase has been due to many factors, including fire suppression and dispersal of seeds by cattle.",95,149,270,271,,SAF 68: Mesquite,Western forest (WF),CWD residual,Temperate residual,SW Forest (Rx),Savanna/Grassland
174,Live oak - Sabal palm forest,"Maritime forests found principally on the lee sides of dunes throughout the southern Atlantic and Gulf Coastal plains in VA, NC, SC, GA, FL and AL .  The area closer to the coast may be wind-pruned, but further inland trees are more protected and reach normal heights.",98,293,294,,,SAF 74: Cabbage Palmetto,SE forest,CWD residual,Temperate residual,SE forest,Temperate Forest
289,Pond-cypress / Muhlenbergia - Sawgrass savanna,"Savanna of dwarf pond-cypress over muhlenbergia grass and sawgrass in south Florida.  This vegetation type is generally very open due to the short stature of the cypress trees.  These systems are typically mature (greater than 100 years), although the trees appear to be small and young.  Surface fires are frequent.",101,296,,,,SAF 100: Pondcypress,SE forest,CWD residual,Temperate residual,SE forest,Savanna/Grassland
272,Red mangrove - Black mangrove forest,Tall mangrove forest composed of zones dominated by Red mangrove at lower elevations and Black mangrove farther inland or composed of mixed red and black mangroves.  Found near the coast and along waterways in south Florida.,103,,,,,SAF 106: Mangrove,SE forest,CWD residual,Temperate residual,SE forest,Temperate Forest
91,White spruce / Prickly rose forest,"White spruce forest with a prickly rose understory and a feathermoss forest floor, between 100 and 200 years old.  Found on floodplains in interior, western and south-central Alaska.  Comparable to Viereck's &quot;open white spruce forest&quot; vegetation type.",104,104,,,,SAF 201: White Spruce,Boreal forest,CWD residual,Boreal residual,Boreal forest,Boreal Forest
92,Aspen - Paper birch - White spruce - Black spruce  forest,"Trembling aspen and paper birch forest succeeding to white and black spruce forest, between 50 and 100 years old.  Found on floodplains and uplands in interior and south-central Alaska.  Comparable to Viereck's &quot;closed spruce-paper birch-quaking aspen forest&quot; vegetation type.",104,105,106,110,111,SAF 201: White Spruce,Boreal forest,CWD residual,Boreal residual,Boreal forest,Boreal Forest
101,White spruce forest,"White spruce forest with a feathermoss forest floor, between 100 and 200 years old.  Found on well-drained floodplains and uplands throughout Alaska.  Comparable to Viereck's &quot;closed white spruce forest&quot; vegetation type.",104,,,,,SAF 201: White Spruce,Boreal forest,CWD residual,Boreal residual,Boreal forest,Boreal Forest
102,White spruce forest,"White spruce forest with a feathermoss forest floor, between 100 and 200 years old.  The larger white spruce ()5&quot; dbh) have recently been attacked by spruce bark beetles.  Found on well-drained floodplains and uplands in south-central Alaska.",104,,,,,SAF 201: White Spruce,Boreal forest,CWD residual,Boreal residual,Boreal forest,Boreal Forest
103,White spruce - Paper birch forest,"White spruce and paper birch forest succeeding to white spruce forest, with a feathermoss and birch litter forest floor, between 50 and 150 years old.  Found on well-drained floodplains and uplands throughout Alaska.  Comparable to Viereck's &quot;closed spruce-paper birch forest&quot; vegetation type.",104,106,,,,SAF 201: White Spruce,Boreal forest,CWD residual,Boreal residual,Boreal forest,Boreal Forest
104,White spruce - Paper birch forest,"White spruce and paper birch forest with a feathermoss and birch litter forest floor, between 50 and 150 years old.  The larger white spruce ()5&quot; dbh) have recently been attacked by spruce bark beetles.  Found on well-drained floodplains and uplands in south-central Alaska.",104,106,107,,,SAF 201: White Spruce,Boreal forest,CWD residual,Boreal residual,Boreal forest,Boreal Forest
105,Paper birch - Trembling aspen - White spruce forest,"Paper birch and trembling aspen forest succeeding to white spruce forest, between 50 and 100 years old.  Found on floodplains and uplands in interior and south-central Alaska.  Comparable to Viereck's &quot;closed spurce-paper birch-quaking aspen forest&quot; vegetation type.",104,105,106,107,124,SAF 201: White Spruce,Boreal forest,CWD residual,Boreal residual,Boreal forest,Boreal Forest
93,Paper birch - Trembling aspen forest,"Paper birch and trembling aspen forest, between 25 and 75 years old.  Found on uplands in interior and south-central Alaska.  Comparable to Viereck's &quot;closed paper birch-quaking aspen forest&quot; vegetation type.",107,124,,,,SAF 252: Paper Birch,Boreal forest,CWD residual,Boreal residual,Boreal forest,Boreal Forest
94,Balsam poplar - Trembling aspen forest,"Balsam poplar and trembling aspen forest, between 25 and 100 years old.  Found on floodplains in interior, western and south-central Alaska.  Comparable to Viereck's &quot;closed quaking aspen-balsam poplar forest&quot; vegetation type.",108,124,,,,SAF 203: Balsam Poplar,Boreal forest,CWD residual,Boreal residual,Boreal forest,Boreal Forest
85,Black spruce / Lichen forest,"Black spruce woodland with a lichen and feathermoss forest floor, between 50 and 150 years old.  Found on cold, well-drained uplands in interior, western and south-central Alaska.  Comparable to Viereck's &quot;black spruce woodland&quot; vegetation type.",109,,,,,SAF 204: Black Spruce,Boreal forest,CWD residual,Boreal residual,Boreal forest,Boreal Forest
86,Black spruce / Feathermoss forest,"Black spruce woodland with a feathermoss forest floor, between 50 and 150 years old.  Found on floodplains and uplands in interior, western and south-central Alaska.  Comparable to Viereck's &quot;black spruce woodland&quot; vegetation type.",109,,,,,SAF 204: Black Spruce,Boreal forest,CWD residual,Boreal residual,Boreal forest,Boreal Forest
87,Black spruce / Feathermoss forest,"Black spruce forest with a feathermoss forest floor, between 50 and 150 years old.  Found on floodplains and uplands in interior and south-central Alaska.  Comparable to Viereck's &quot;closed black spruce forest&quot; vegetation type.",109,,,,,SAF 204: Black Spruce,Boreal forest,CWD residual,Boreal residual,Boreal forest,Boreal Forest
88,Black spruce / Sphagnum moss forest,"Black spruce woodland with a sphagnum moss forest floor, between 50 and 150 years old.  Found on cold, wet sites, often near tree line, in interior, western and south-central Alaska.  Comparable to Viereck's &quot;black spruce dwarf tree woodland&quot; vegetation type.",109,,,,,SAF 204: Black Spruce,Boreal forest,CWD residual,Boreal residual,Boreal forest,Boreal Forest
89,Black spruce / Sheathed cottonsedge woodland,"Black spruce woodland with a cottonsedge tussock understory, between 50 and 150 years old.  Found on cold, wet sites, often near tree line, in interior, western and south-central Alaska.  Comparable to Viereck's &quot;black spruce dwarf tree woodland&quot; vegetation type.",109,,,,,SAF 204: Black Spruce,Boreal forest,CWD residual,Boreal residual,Boreal forest,Boreal Forest
12,Red fir - Mountain hemlock - Lodgepole pine - White pine forest,"Upper montane forests on the westside of the northern Sierra Nevada are a mix of mountain hemlock, red fir, white pine and lodgepole pine.",112,117,,,,SAF 205: Mountain Hemlock,Western forest (WF),CWD residual,Temperate residual,NW Forest (Rx),Temperate Forest
13,Mountain hemlock - Pacific silver fir forest,"Pacific silver fir and mountain hemlock are common associates at high elevations in montane and subalpine forests along the western slopes of the Cascade Crest. These forests are typically moist and cool.  A wildfire occurred 35 years ago in this forest, and the recovering stand is currently dominated by mountain hemlock.",112,133,,,,SAF 205: Mountain Hemlock,Western forest (WF),CWD residual,Temperate residual,NW Forest (Rx),Temperate Forest
237,Vaccinium - Heather shrublands,"Subalpine meadows of the northwest are commonly dominated by Vaccinium and heather.  Vaccinium is dominant for seven to nine years following disturbances such as fire or avalanches, and may be maintained indefinitely on harsh sites.",112,113,164,171,,SAF 205: Mountain Hemlock,Western forest (WF),CWD residual,Temperate residual,NW Forest (Rx),Shrublands
238,Pacific silver fir - Mountain hemlock forest,Pacific silver fir and mountain hemlock are common associates at high elevations in montane and subalpine forests along the western slopes of the Cascade Crest. These forests are typically moist and cool.,112,133,,,,SAF 205: Mountain Hemlock,Western forest (WF),CWD residual,Temperate residual,NW Forest (Rx),Temperate Forest
29,Interior Ponderosa pine - Engelmann spruce - Douglas fir forest,"Ponderosa pine, Douglas-fir and Engelmann spruce are common associates in the mixed conifer forests of the Rocky Mountains and the Southwest.  Large diameter trees have been thinned, and the stand is prepared for prescribed burning. Slash has not been removed from the site.",113,118,144,,,SAF 206: Engelmann Spruce-Subalpine Fir,Western forest (WF),CWD residual,Temperate residual,NW Forest (Rx),Temperate Forest
59,Subalpine fir - Engelmann spruce - Douglas fir - Lodgepole pine forest,"Subalpine fir, Engelmann spruce and lodgepole pine are common codominants in montane forests of Washington, Oregon and the Rocky Mountains.  This forest type is cool and moist, in a transition zone between the montane mixed conifer forests below and the subalpine forests above.",113,,,,,SAF 206: Engelmann Spruce-Subalpine Fir,Western forest (WF),CWD residual,Temperate residual,NW Forest (Rx),Temperate Forest
70,Subalpine fir - Lodgepole pine - Whitebark pine - Engelmann spruce forest,"Subalpine fir, lodgepole pine, whitebark pine and Engelmann spruce forests are found throughout the Rocky Mountains in the United States, and in the Columbia Mountains and the Interior Plateau in Canada. These mature stands are usually found at elevations above 6,000 feet.",113,122,125,,,SAF 206: Engelmann Spruce-Subalpine Fir,Western forest (WF),CWD residual,Temperate residual,NW Forest (Rx),Temperate Forest
273,Engelmann spruce - Douglas-fir - White fir - Interior Ponderosa pine forest,"Ponderosa pine, Douglas-fir and Engelmann spruce are found in small patches throughout the montane zone in the mixed conifer forests of the Rocky Mountains and the Southwest, as well as the Grand Canyon area. Grand fir is a common component of these stands in the Northern Rockies, and white fir in the Southwestern states. These stands are usually located above 5000 feet in elevation. The fuel density in this mature stand has increased due to fire exclusion in this forest type, creating hazardous fuel conditions.",113,118,119,144,,SAF 206: Engelmann Spruce-Subalpine Fir,Western forest (WF),CWD residual,Temperate residual,NW Forest (Rx),Temperate Forest
17,Red fir forest,"Pure stands of red fir are widespread in the central and southern Sierra Nevada.  These forests occur above the white fir - sugar pine communities at the upper edge of the lower montane, and are dominant in the upper montane.  Stands are usually dense, with very little shrub and grass present.",114,,,,,SAF 207: Red Fir,Western forest (WF),CWD residual,Temperate residual,NW Forest (Rx),Temperate Forest
61,Whitebark pine / Subalpine fir forest,"Whitebark pine dominated stands occur along the timberline in Washington, Oregon and the Rocky Mountains.  Whitebark pine is often the seral and dominant tree species in more xeric regions, with subalpine fir and mountain hemlock associates.  This mature forest (100 to 300 years) contains subalpine fir and whitebark pine. Whitebark pine in this stand suffers from white pine blister rust.",115,,,,,SAF 208: Whitebark Pine,Western forest (WF),CWD residual,Temperate residual,NW Forest (Rx),Temperate Forest
4,Douglas fir / Ceanothus forest,"This dry Douglas-fir forest of the eastern Cascades was clearcut and burned 15-20 years ago, resulting in a ceanothus brushland.  This forest type occurs at mid-elevations in the Cascades and Northern Rockies.",118,,,,,SAF 210: Interior Douglas-Fir,Western forest (WF),CWD residual,Temperate residual,NW Forest (Rx),Temperate Forest
5,Douglas fir - White fir forest,"Forests comprised of a mix of white fir, Douglas-fir and other conifers are located in the Southern Cascades and Sierras.  They are cool forests of moderate to high elevation (3000 to 5000 ft) which characterize mid-seral conditions. This forest is between 80 and 120 years old.",118,119,136,,,SAF 210: Interior Douglas-Fir,Western forest (WF),CWD residual,Temperate residual,NW Forest (Rx),Temperate Forest
18,Douglas fir / Oceanspray forest,Forests comprised of a mix of Douglas-fir and ponderosa pine occur in the Rocky Mountains and east of the Cascades. Fire suppression and historic highgrade logging of mature ponderosa pine has favored dominance of the shade-tolerant Douglas-fir. This 80 to 250 year old stand was treated with prescribed fire 5 years ago. These data are from the North Cascades National Park.,118,,,,,SAF 210: Interior Douglas-Fir,Western forest (WF),CWD residual,Temperate residual,NW Forest (Rx),Temperate Forest
34,Interior Douglas fir - Interior Ponderosa pine / Gambel oak forest,Mixed Douglas-fir and ponderosa pine conifer forests of the Southwest.  Fire suppression has created hazard fuel conditions.,118,144,,,,SAF 210: Interior Douglas-Fir,Western forest (WF),CWD residual,Temperate residual,SW Forest (Rx),Temperate Forest
52,Douglas-fir - Pacific ponderosa pine / Oceanspray forest,"Dry Douglas-fir dominated mixed conifer forests with shrub understories are located in the Rocky Mountains and Northeastern Cascades in the dry Douglas-fir zone. Pacific ponderosa pine is a common codominant in this forest type, however, fire suppression has reduced the presence of the less shade-tolerant ponderosa pine. This fuelbed was developed based on data from the North Cascades National Park.",118,,,,,SAF 210: Interior Douglas-Fir,Western forest (WF),CWD residual,Temperate residual,NW Forest (Rx),Temperate Forest
54,Douglas-fir - White fir - Interior ponderosa pine forest,"Douglas-fir and ponderosa pine are typical codominants in the montane zone of the Rocky Mountains and the southwest.  Ponderosa pine tends to dominate the lower, drier sites, and Douglas-fir dominates the higher and moister sites.  Fire exclusion has increased the density of more shade-tolerant trees, such as white fir. This fuelbed was developed based on data from the Grand Canyon National Park.",118,119,144,,,SAF 210: Interior Douglas-Fir,Western forest (WF),CWD residual,Temperate residual,NW Forest (Rx),Temperate Forest
67,Interior Ponderosa pine - Douglas fir forest,Mixed Douglas-fir and ponderosa pine conifer forests of the northern Rocky Mountains.  Fire exclusion has created elevated levels of hazardous fuels.,118,144,,,,SAF 210: Interior Douglas-Fir,Western forest (WF),CWD residual,Temperate residual,NW Forest (Rx),Temperate Forest
219,Ponderosa pine - White fir / Trembling aspen forest,"Southwestern montane mixed conifer forest dominated by white fir, Douglas-fir, Engelmann spruce, ponderosa pine. This fuelbed was developed based on data from Grand Canyon NP.",118,119,144,,,SAF 210: Interior Douglas-Fir,Western forest (WF),CWD residual,Temperate residual,SW Forest (Rx),Temperate Forest
220,Ponderosa pine - White fir / Trembling aspen forest,"Southwestern montane mixed conifer forest dominated by white fir, Douglas-fir, Engelmann spruce, ponderosa pine and trembling aspen.  Prescribe burned two years previously. This fuelbed was developed based on data from Grand Canyon NP.",118,119,144,,,SAF 210: Interior Douglas-Fir,Western forest (WF),CWD residual,Temperate residual,SW Forest (Rx),Temperate Forest
223,Douglas-fir - White fir - Interior ponderosa pine forest,Two years following wildfire in a southwestern montane mixed conifer forest. This fuelbed was developed based on data from the Grand Canyon National Park.,118,119,144,,,SAF 210: Interior Douglas-Fir,Western forest (WF),CWD residual,Temperate residual,SW Forest (Rx),Temperate Forest
19,White fir - Giant sequoia - Sugar pine forest,Giant sequoia groves with other mixed conifers occur in the montane forests of the Sierra Nevadas.  Fire is essential to the continued vigor of these forests.  Fire exclusion has caused live and dead fuel loadings to increase substantially. This fuelbed was developed based on data from Sequoia Kings Canyon NP.,119,150,,,,SAF 211: White Fir,Western forest (WF),CWD residual,Temperate residual,NW Forest (Rx),Temperate Forest
226,White fir - Gambel oak forest,Interior Western forest dominated by white fir and gambel oak. This fuelbed was developed based on data from Zion NP.,119,209,,,,SAF 211: White Fir,Western forest (WF),CWD residual,Temperate residual,NW Forest (Rx),Temperate Forest
227,White fir forest,Five years following prescribed burn to reduce white fir density in Southwestern mixed conifer forest. This fuelbed was developed based on data from Zion NP.,119,209,,,,SAF 211: White Fir,Western forest (WF),CWD residual,Temperate residual,SW Forest (Rx),Temperate Forest
208,Grand fir - Douglas fir forest,"Mixed conifer forests dominated by grand fir occur in the northern Cascades and Northern Rocky Mountains, and usually occur at higher elevations in the mixed conifer zone and lower elevations of the subalpine zone.  Grand fir is replaced by white fir in the southern Cascades, Southern Rockies and Sierra Nevada.  This forest is 200+ years old.",121,136,,,,SAF 213: Grand Fir,Western forest (WF),CWD residual,Temperate residual,NW Forest (Rx),Temperate Forest
42,Trembling aspen / Engelmann spruce forest,"Aspen forests with mixed conifer understories are common in the Rocky Mountains and other Western ranges. Trembling aspens occur in nearly pure stands as the seral community following fire, but they are eventually replaced by mixed conifers through fire exclusion.",124,207,,,,SAF 217: Aspen ,Western forest (WF),CWD residual,Temperate residual,NW Forest (Rx),Temperate Forest
224,Trembling aspen forest,"Trembling aspen forests of the West, may contain gambel oak and conifers in small amounts.  Elevations of 6000 to 8000 feet. This fuelbed was developed based on data from Zion National Park.",124,,,,,SAF 217: Aspen ,Western forest (WF),CWD residual,Temperate residual,SW Forest (Rx),Temperate Forest
225,Trembling aspen forest,Western trembling aspen forest prescribed burned two years previously to reduce conifer encroachment and fuel buildup. This fuelbed was developed based on data from Zion National Park.,124,,,,,SAF 217: Aspen ,Western forest (WF),CWD residual,Temperate residual,SW Forest (Rx),Temperate Forest
21,Lodgepole pine forest,"Lodgepole pine is often the seral species in the middle montane forests of Washington, Oregon and the Rocky Mountains.  This forest is a young stand of lodgepole pine that replaces an older stand of lodgepole pine after a stand-replacing fire that occurred approximately 10 years ago.",125,,,,,SAF 218: Lodgepole Pine,Western forest (WF),CWD residual,Temperate residual,NW Forest (Rx),Temperate Forest
22,Lodgepole pine forest,"Mature stands of pure lodgepole pine occur in middle montane forests of Washington, Oregon and the Rocky Mountains.  At maturity, these stands are usually dense and even aged.  This stand is approximately 80 years old.",125,,,,,SAF 218: Lodgepole Pine,Western forest (WF),CWD residual,Temperate residual,NW Forest (Rx),Temperate Forest
23,Lodgepole pine forest,"Lodgepole pine forests occur in mid-montane forests throughout Washington, Oregon and the Rocky Mountains.  This stand is over 80 years old, and has been attacked by pine bark beetles less than 5 years ago.",125,,,,,SAF 218: Lodgepole Pine,Western forest (WF),CWD residual,Temperate residual,NW Forest (Rx),Temperate Forest
286,Interior Ponderosa pine - Limber pine forest,"Limber pine occurs throughout the Rocky Mountains, Great Basin and southern California. It can be codominant with many species including Douglas fir, ponderosa pine, white pine and junipers. Usually limber pine occupies dry, exposed sites. This is a mature stand that is fire suppressed.",126,144,,,,SAF 219: Limber Pine,Western forest (WF),CWD residual,Temperate residual,NW Forest (Rx),Temperate Forest
231,Gambel oak - Juniper - Ponderosa pine forest,"Arid Southwestern gambel oak woodland, composed of gambel oak, ponderosa pine, pinyon and juniper species. These forests are found from 6,000 - 9,000 feet in elevation, and are over 50 years old. Due to fire suppression and grazing, the species composition in these forests has moved from open gambel oak dominanted savanna to a more dense mixed conifer forest.",127,144,146,209,,SAF 220: Rocky Mountain Juniper,Western forest (WF),CWD residual,Temperate residual,SW Forest (Rx),Temperate Forest
10,Western hemlock - Douglas fir - Sitka spruce forest,"The Pacific Northwest coast, from southern Oregon to British Columbia is renown for its lush forests and large trees.  Moist to wet conditions support large old-growth sitka spruce, Douglas-fir, western hemlock and western redcedar.",130,131,132,136,137,SAF 223: Sitka Spruce,Western forest (WF),CWD residual,Temperate residual,NW Forest (Rx),Temperate Forest
11,Douglas fir / Western hemlock - Sitka spruce forest,"The moist to wet conditions along the Pacific Northwest coast, from southern Oregon to British Columbia support very large Douglas-fir, western hemlock, sitka spruce and western redcedar.  They were often harvested for timber.  This stand was clear-cut 40 to 60 years ago.",130,131,132,136,137,SAF 223: Sitka Spruce,Western forest (WF),CWD residual,Temperate residual,NW Forest (Rx),Temperate Forest
2,Western hemlock - Western redcedar - Douglas-fir forest,These old growth forests are found in the temperate coast ranges west of the Cascades of Oregon and Washington.  Douglas-fir is often dominant although western hemlock and western redcedar are the climax species.,131,134,135,136,137,SAF 224: Western Hemlock,Western forest (WF),CWD residual,Temperate residual,NW Forest (Rx),Temperate Forest
