MapID,Cover type,Region,Vegetation Type,,Brian - note that we need to stick to cover type because people create custom fuelbeds (we can't just support reference fuelbeds),
140,SAF 233: Oregon White Oak,W,Mixed forest,,,"""140"":""W mixed forest"","
142,SAF 235: Cottonwood-Willow,W,Mixed forest,,,"""142"":""W mixed forest"","
143,SAF 236: Bur Oak (Western),W,Mixed forest,,,"""143"":""W mixed forest"","
148,SAF 241: Western Live Oak,W,Mixed forest,,,"""148"":""W mixed forest"","
149,SAF 242: Mesquite,W,Mixed forest,,,"""149"":""W mixed forest"","
153,SAF 246: California Black Oak,W,Mixed forest,,,"""153"":""W mixed forest"","
156,SAF 249: Canyon Live Oak,W,Mixed forest,,,"""156"":""W mixed forest"","
157,SAF 250: Blue Oak-Digger Pine,W,Mixed forest,,,"""157"":""W mixed forest"","
158,SAF 255: California Coast Live Oak,W,Mixed forest,,,"""158"":""W mixed forest"","
207,SRM 411: Aspen Woodland,W,Mixed forest,,,"""207"":""W mixed forest"","
209,SRM 413: Gambel Oak,W,Mixed forest,,,"""209"":""W mixed forest"","
214,SRM 418: Bigtooth Maple,W,Mixed forest,,,"""214"":""W mixed forest"","
215,SRM 419: Bittercherry,W,Mixed forest,,,"""215"":""W mixed forest"","
218,SRM 422: Riparian (Great Basin),W,Mixed forest,,,"""218"":""W mixed forest"","
305,SRM 906: Broadleaf Forest,W,Mixed forest,,,"""305"":""W mixed forest"","
300,SRM 901: Alder (Alaska),W,Mixed forest,,,"""300"":""W mixed forest"","
141,SAF 234: Douglas-Fir-Tanoak-Pacific Madrone,W,Mixed forest,,,"""141"":""W mixed forest"","
275,SRM 733: Juniper-Oak,W,Mixed forest,,,"""275"":""W mixed forest"","
14,SAF 1: Jack Pine,N,Forest,,,"""14"":""N forest"","
306,SRM 907: Dryas,N,Grassland,,,"""306"":""N grassland"","
